popularity,vote_count_x,vote_average_x,release_date,original_language_x,genre_ids,belongs_to_collection,budget,production_companies,production_countries,revenue,day_of_week,month,quarter,en_int_lang,collection
10.929,581.0,7.1,2018-12-14,en,Drama|Romance|,na,12000000.0,Annapurna Pictures,US,20572691.0,4,12,4,en,Collection
8.672,149.0,6.3,2018-06-13,en,Action|Crime|,na,16000000.0,Columbia Pictures,US,20545116.0,2,6,2,en,Collection
3.0989999999999998,19.0,4.9,2018-06-01,hi,Drama|Comedy|,na,6800000.0,Anil Kapoor Film Company,IN,19700000.0,4,6,2,int,Collection
2.285,2.0,2.5,2018-08-17,zh,Comedy|Mystery|,na,0.0,na,CN,19109023.0,4,8,3,int,Collection
8.716000000000001,238.0,5.8,2018-04-19,en,Comedy|Crime|Mystery|,Super Troopers Collection,13500000.0,Broken Lizard Industries,US,18850674.0,3,4,2,en,Collection
8.998,728.0,7.6,2018-06-08,pl,Drama|History|,na,4954000.0,Protagonist Pictures,FR,18754051.0,4,6,2,int,Collection
1.8780000000000001,6.0,6.2,2018-02-08,ko,Adventure|Comedy|Crime|,Detective K Collection,0.0,Generation Blue Films,KR,18603476.0,3,2,1,int,Collection
7.667000000000001,528.0,6.5,2018-05-09,es,Drama|,na,11318430.0,Lucky Red,FR,17997350.0,2,5,2,int,Collection
6.515,139.0,6.0,2018-04-06,en,Drama|History|Thriller|,na,34000000.0,Apex Entertainment,SE,17904202.0,4,4,2,en,Collection
12.874,701.0,6.0,2018-10-25,en,Action|Thriller|Crime|,The Girl - Millennium Collection,43000000.0,The Cantillon Company,CA,17894345.0,3,10,4,en,Collection
8.332,257.0,6.5,2018-06-27,en,Comedy|,na,19000000.0,Lionsgate,US,17665000.0,2,6,2,en,Collection
8.776,369.0,6.7,2018-08-29,en,Drama|History|Thriller|,na,24000000.0,Automatik Entertainment,US,17506878.0,2,8,3,en,Collection
14.036,518.0,7.4,2018-01-26,en,Drama|Music|Romance|,na,3500000.0,LD Entertainment,US,16367326.0,4,1,1,en,Collection
11.672,774.0,6.9,2018-05-04,en,Drama|Comedy|,na,0.0,Bron Studios,US,15636462.0,4,5,2,en,Collection
2.622,18.0,5.3,2018-04-13,ja,Adventure|Animation|Comedy|,Crayon Shin-chan Collection,0.0,Asatsu DK,JP,14800000.0,4,4,2,int,Collection
14.892000000000001,1200.0,7.6,2018-11-16,en,Drama|Comedy|Family|,na,48000000.0,Closest to the Hole Productions,US,14700000.0,4,11,4,en,Collection
10.165,837.0,6.2,2018-02-21,en,Horror|Thriller|,na,1500000.0,Regency Enterprises,US,14293601.0,2,2,1,en,Collection
9.122,696.0,7.5,2018-01-19,en,Drama|Comedy|,na,2000000.0,Scott Rudin Productions,US,13539709.0,4,1,1,en,Collection
